,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
78,633010023.9087602,523832696.3347442,0.12393267662020713
79,633010023.9087602,523832696.3347442,0.12393267662020713
80,642072669.941594,465775760.10088325,0.1246703669322652
81,633010023.9087602,545113569.4747686,0.12393267662020713
82,633010023.9087602,484019905.61217475,0.12393267662020713
83,633010023.9087602,569425971.9556545,0.12393267662020713
84,633010023.9087602,567824028.5850558,0.12393267662020713
85,633010023.9087602,523832696.3347442,0.12393267662020713
86,131456928.19647297,547820660.6661543,0.025988282971911556
87,613676931.3022244,538037461.6992146,0.11679567263280075
88,624300327.2600048,559747766.2963122,0.12036417462650394
89,630328324.6864029,534656996.73919225,0.12376317116593534
90,633010023.9087602,534597744.80564773,0.12393267662020713
91,633010023.9087602,523832696.3347442,0.12393267662020713
92,633010023.9087602,517254156.08377546,0.12393267662020713
93,633010023.9087602,471738939.9104254,0.12393267662020713
94,633010023.9087602,530125029.616498,0.12393267662020713
95,633010023.9087602,523813956.4482603,0.8262178441347144
96,137352284.99516755,600942484.7357559,0.17583367668135216
97,137352284.99516755,600942484.7357559,0.17583367668135216
98,137352284.99516755,600942484.7357559,0.17583367668135216
99,137352284.99516755,600942484.7357559,0.17583367668135216
100,137352284.99516755,600942484.7357559,0.17583367668135216
101,137352284.99516755,600942484.7357559,0.17583367668135216
102,137352284.99516755,600942484.7357559,0.17583367668135216
103,137352284.99516755,600942484.7357559,0.17583367668135216
104,137352284.99516755,600942484.7357559,0.17583367668135216
105,137352284.99516755,600942484.7357559,0.17583367668135216
106,137352284.99516755,600942484.7357559,0.17583367668135216
107,137352284.99516755,600942484.7357559,0.17583367668135216
108,137352284.99516755,600942484.7357559,0.17583367668135216
109,137352284.99516755,600942484.7357559,0.17583367668135216
110,137352284.99516755,600942484.7357559,0.17583367668135216
111,128289638.96233375,655705666.5677762,0.1709157412676317
112,137352284.99516755,585292016.7192221,0.17583367668135216
113,137352284.99516755,636937779.7404015,0.17583367668135216
114,137352284.99516755,547301583.8950919,0.17583367668135216
115,137352284.99516755,548903527.2656906,0.17583367668135216
116,137352284.99516755,600942484.7357559,0.17583367668135216
117,620057878.1127009,572998797.5948657,0.7824257166039136
118,137619113.2297025,578722426.84415,0.17643839777300221
119,137352284.99516755,555503537.6340065,0.17583367668135216
120,140033984.21752486,588976388.1404433,0.17696371304316408
121,137352284.99516755,589035744.6511118,0.17583367668135216
122,137352284.99516755,600942484.7357559,0.17583367668135216
123,137352284.99516755,605975511.5312036,0.17583367668135216
124,137352284.99516755,652255902.9661779,0.17583367668135216
125,137352284.99516755,595798994.1414995,0.17583367668135216
126,137352284.99516755,600946059.1675798,0.026375051502202825
127,137352284.99516755,600942484.7357559,0.17583367668135216
128,1000631421.2713301,570147219.6828096,0.21781118573752592
129,1000631421.2713301,570147219.6828096,0.21781118573752592
130,1000631421.2713301,570147219.6828096,0.21781118573752592
131,1000631421.2713301,570147219.6828096,0.21781118573752592
132,1000631421.2713301,570147219.6828096,0.21781118573752592
133,1000631421.2713301,570147219.6828096,0.21781118573752592
134,1000631421.2713301,570147219.6828096,0.21781118573752592
135,1000631421.2713301,570147219.6828096,0.21781118573752592
136,1000631421.2713301,570147219.6828096,0.21781118573752592
137,1000631421.2713301,570147219.6828096,0.21781118573752592
138,1000631421.2713301,570147219.6828096,0.21781118573752592
139,1000631421.2713301,570147219.6828096,0.21781118573752592
140,1000631421.2713301,570147219.6828096,0.21781118573752592
141,1000631421.2713301,570147219.6828096,0.21781118573752592
142,1000631421.2713301,570147219.6828096,0.21781118573752592
143,1000631421.2713301,570147219.6828096,0.21781118573752592
144,137555341.48705843,607218474.8478166,0.06390641216222244
145,1000631421.2713301,583456341.7740141,0.21781118573752592
146,1000631421.2713301,614217763.5291026,0.21781118573752592
147,998126536.3089612,637660726.2153614,0.21713799978839202
148,1000631421.2713301,489795525.88842094,0.21781118573752592
149,1000631421.2713301,570147219.6828096,0.21781118573752592
150,1483337014.3888633,542599803.2091745,0.4361843201096479
151,1021888318.8703614,546803436.7430485,0.23478197647398985
152,1000631421.2713301,556584358.5549121,0.21781118573752592
153,1001417448.5003946,556546488.1779394,0.21793562664124427
154,1000631421.2713301,571809382.6187481,0.21781118573752592
155,1000631421.2713301,582023177.8898318,0.21781118573752592
156,1016131180.7385749,565100421.413857,0.22167990772552773
157,1000631421.2713301,570147219.6828096,0.21781118573752592
158,1000631421.2713301,556378474.2456251,0.21781118573752592
159,1000631421.2713301,570147219.6828096,0.21781118573752592
160,803642666.5396214,570505420.5924224,0.41769619132543917
161,803642666.5396214,570505420.5924224,0.41769619132543917
