,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
3473,0.0,0.0,2884189.989528329,0.0024547243404126782,60384523.12657891,0.09343131686750855,110267712.84230176,0.04020167143854864,28807285.763389524,0.022933643793114307,710400000.0,0.0
3474,0.0,0.0,85613661.904143,0.07864454342187772,20003599.260490842,0.0360075759459256,7809654.482821085,0.004165797723182358,96140423.64449748,0.0871835287609638,710400000.0,0.0
3475,1859342021.3106303,1.6439950508317782,7505741.915846666,0.010132174820957969,52592661.325020656,0.12978700974589738,18750583.591853544,0.012218312622772868,29173615.387773596,0.037269202257125454,710400000.0,0.0
3476,0.0,0.0,14049659.641698485,0.017734637812717866,26567520.58320019,0.06251332057302136,12579277.615361739,0.008195410782551137,21096505.07937929,0.025502784576237343,710400000.0,0.0
3477,0.0,0.0,28864204.918764114,0.034930265977560215,94110476.78744,0.2103197397463469,6132922.852481013,0.004196775731615299,51030541.67345536,0.05963523329794565,710400000.0,0.0
3478,58308439.03895122,0.03675031947440275,247010170.3931446,0.21591313294821235,34529295.722797506,0.061356786936594986,7340879.984498397,0.003755331828397156,11322211.259276895,0.01036243747952181,710400000.0,0.0
3479,20725836.77730081,0.01377987883712848,134687540.98686904,0.12778728663182864,1604011069.6430545,2.7184056160276975,92012766.37159269,0.04082532298784263,39720053.63002035,0.03821680662196639,710400000.0,0.0
3480,0.0,0.0,128968662.79235741,0.10533075200820954,32829454.869016174,0.05283018587524811,18681084.447820444,0.008347121360268476,146116811.2493372,0.11804860112238912,710400000.0,0.0
3481,0.0,0.0,0.0,0.0,432624706.35175693,0.7437882926278725,6317065.2539967485,0.003182307510742554,21177211.82365986,0.02028145410219853,710400000.0,0.0
3482,0.0,0.0,106449605.50709374,0.10373873151932192,27103388.391265735,0.0519758086332957,7015645.170098189,0.0039252985201614935,285142595.13990575,0.26877911675120114,710400000.0,0.0
3483,0.0,0.0,269024317.11667764,0.266691565027378,10021580.476326548,0.020472760189973065,14061628.434825622,0.007750581447012524,13723607.143465817,0.014308278764728859,710400000.0,0.0
3484,169373706.4049331,0.16072525997610798,1661849.260960224,0.002441059111932816,7490969.566272497,0.02022085082044732,7615797.694700796,0.005678317271899972,539937124.9185073,0.6768698928418153,710400000.0,0.0
3485,0.0,0.0,95469820.43306354,0.10468269567141539,554416241.5661644,1.092458883127609,656384.1901449495,0.0004576058498728919,332498192.43476754,0.3506393854305597,710400000.0,0.0
3486,134932554.8853737,0.0868048813437762,2445600.808305191,0.002430266813473465,81796397.33792356,0.14573106707011438,0.0,0.0,112386128.47738032,0.10246367500163665,710400000.0,0.0
3487,0.0,0.0,30705846.35550083,0.026682382143778972,94315223.97539368,0.15174346975108116,17931358.92253588,0.008018751662512744,71187431.72536474,0.05905110718818822,710400000.0,0.0
3488,0.0,0.0,21620323.940125007,0.02623718132492507,62845168.74537476,0.14162769190052427,12493677.463152394,0.007784211867456223,20306082.06356384,0.023819406156251176,710400000.0,0.0
3489,0.0,0.0,11771695.058389448,0.010437574394977684,1107419661.7169895,1.6324221549817763,8800272.69440545,0.004328410983070472,185227602.73510832,0.15129586550370228,710400000.0,0.0
3490,0.0,0.0,27168413.473123066,0.026375085398865874,34009111.879309185,0.06194708576706743,42202159.41270745,0.01958032957334304,196514336.05214587,0.17829268056197345,710400000.0,0.0
3491,2735265079.3027716,1.6439950508317782,539781556.9523436,0.43692664958253224,20867122.368439738,0.035671985527291714,65320247.61929205,0.027262807040867903,392493695.61254454,0.32537726716760607,710400000.0,0.0
3492,0.0,0.0,179607600.8916586,0.17215603745026004,79638274.55927898,0.15124505749016098,15301508.326967405,0.00812936691918949,72789949.07312602,0.07112937525461265,710400000.0,0.0
3493,0.0,0.0,63708188.787327036,0.05899243456674761,84877812.19255477,0.14940696894520272,1785940.7521716526,0.0009959491753563927,1085831130.8583333,0.8913967393368687,710400000.0,0.0
3494,0.0,0.0,326725215.4291534,0.3037443071846573,8363057.178824961,0.016147825806235812,2853947.14531891,0.0016818875363593183,113153168.97983298,0.10908429798354807,710400000.0,0.0
3495,0.0,0.0,124831078.4760494,0.1023935240973906,21802154.33702451,0.03537944571137689,9995686.187526237,0.004558935140878321,27139842.306019202,0.022537388522668317,710400000.0,0.0
3496,1131352.0715262375,0.0006799842620048798,19358850.806608997,0.017753710454768732,126913503.72183758,0.21187338766288838,8189557.545106644,0.004165797723182358,85474072.2898626,0.0741133870958273,710400000.0,0.0
